,accuracy,precision,recall,f1
Theater,0.7348877374784111,0.7403381642512077,0.8695035460992908,0.7997390737116764
Technology,0.8518082916789179,0.8617191671115857,0.8682087143625605,0.864951768488746
Dance,0.742014742014742,0.7564575645756457,0.8401639344262295,0.7961165048543689
Film & Video,0.8586118251928021,0.8949494949494949,0.8983198146002318,0.8966314876391499
Music,0.8492422751426885,0.8893756845564075,0.8997229916897507,0.8945194161388047
Comics,0.8815580286168522,0.8989266547406082,0.9654178674351584,0.9309865678554886
Publishing,0.8198044009779951,0.8608058608058609,0.8681196896933875,0.8644473054993562
Food,0.8416017009213324,0.827893175074184,0.754054054054054,0.7892503536067893
None,0.9677777777777777,0.9724137931034482,0.9941245593419507,0.9831493317838466
Journalism,0.8259773013871374,0.7302631578947368,0.5336538461538461,0.6166666666666667
Games,0.8835695135963233,0.902555910543131,0.9333700440528634,0.9177043854899838
Fashion,0.8389634428505321,0.870420017873101,0.8275276125743416,0.8484320557491289
Art,0.8191489361702128,0.8510016694490818,0.9022123893805309,0.8758591065292096
Design,0.8073047858942065,0.8255597014925373,0.8814741035856574,0.8526011560693642
Photography,0.8007968127490039,0.8260869565217391,0.771875,0.7980613893376414
Crafts,0.8045325779036827,0.7344632768361582,0.5882352941176471,0.6532663316582915
